"alpha","val","feature"
1,-1.42656804843998,2
2,-1.02097507251268,2
3,-0.737759287597938,2
4,-0.502409933322028,1
4,-0.503494029439092,2
5,-0.294945449412543,1
5,-0.29370490878099,2
6,-0.097393698206578,1
6,-0.0979014031609179,2
7,0.0965545263835658,1
7,0.0961535072241424,2
7,0.0961535072241425,3
8,0.0966615618276002,1
8,0.097901053511803,2
8,0.0979010535118023,3
9,0.293571100369361,1
9,0.293703859833642,2
9,0.293703859833638,3
10,0.504002783340785,1
10,0.50349437908821,2
10,0.503494029439093,3
11,0.73651944626462,1
11,0.73775928759794,2
11,0.737759287597939,3
12,1.02148347676526,1
12,1.02097507251269,2
12,1.02097507251269,3
13,1.42707627786799,1
13,1.42656804843998,2
13,1.42656804843998,3
