"qi","beta","window","method"
"0",NA,"6","MST-EB"
"0",NA,"6","MST-VB"
"0.00274725274725275",NA,"6","Walktrap"
"0",NA,"6","HC"
"0",NA,"8","MST-EB"
"0",NA,"8","MST-VB"
"0",NA,"8","Walktrap"
"0",NA,"8","HC"
"0",NA,"10","MST-EB"
"0",NA,"10","MST-VB"
"0",NA,"10","Walktrap"
"0",NA,"10","HC"
"0",NA,"12","MST-EB"
"0",NA,"12","MST-VB"
"0",NA,"12","Walktrap"
"0",NA,"12","HC"
"0",NA,"14","MST-EB"
"0",NA,"14","MST-VB"
"0.0755148741418764",NA,"14","Walktrap"
"0",NA,"14","HC"
"2.71","0.3","6","Proposed"
"2.59","0.35","6","Proposed"
"2.17","0.4","6","Proposed"
"2.01","0.45","6","Proposed"
"1.82","0.5","6","Proposed"
"1.62","0.55","6","Proposed"
"1.51","0.6","6","Proposed"
"2.69","0.3","8","Proposed"
"2.49","0.35","8","Proposed"
"2.15","0.4","8","Proposed"
"2.01","0.45","8","Proposed"
"1.77","0.5","8","Proposed"
"1.65","0.55","8","Proposed"
"1.52","0.6","8","Proposed"
"3.08","0.3","10","Proposed"



"0","0.3","6","Proposed"
"0","0.35","6","Proposed"
"0","0.4","6","Proposed"
"0","0.45","6","Proposed"
"0","0.5","6","Proposed"
"0","0.55","6","Proposed"
"0","0.6","6","Proposed"
"0","0.3","8","Proposed"
"0","0.35","8","Proposed"




